testnet address,score,reward QKC
0x7027d6725ce1defc23be2090d011d4c90181ee62a1afa672,100,7000
0x654f745205fc57dac30052a3a43b9befb59b706d1b64c2c1,85,3000
0x1268800af4a4a6ab96c0dde249687ae6f336267f042bc7f7,69,3000
0xb000e89bda13eb630061c7df1337b0e368373e318eff9696,85,1000
0xd8285f45a3786150ce13665619fa979ef9af84e6587ac375,36,1000
0x5211c2803140a1be6ecc36d69a08e71446bf9e3b6176c96c,36,1000
0x99bd34c6b5fadbabd9fd14d8f98fee5e5e119b9641c5f0c8,95,1000
0x22fd23076b1ab22623b510d65e9a429c83228dd39deec223,70,1000
0xa5261761a52eb3769f3247491559dd6dab9ab0518f077255,100,1000
0xb76efb92e3a2e0511b86c55809039d47f8d0ce6abdfb30fd,100,1000
