testnet address,score
0x52f68a3e5513cc02ebffb61d0fa450963dca81d46853fee1,16
0x1cf1632ca79b727c07bd00d2beea010f9c4d19c643bb2977,5
0x6500833eb540cfbf4cd89a5286fccd8dcceacc28d3fb0537,25
0x73da5f0858b5f199862577d06ae9a5b7cdfad2b6bbf0cf0c,25
0x6be509f788c4a1bc54729ba435726848518dec1c0703a920,5
0xac97a69ca33b297f7bf5ed618fd9be7037c89e4221337ed8,61
0xa462ec2469f6f3c8febd1f20391e80913e1277f3f54f494b,11
0x7265ba89fc555ade73f58cd0f96159972b290f78065d6a14,5
0xdb8c702e881ff4cc3eda9a7a75700359cd704d9aeadd38e5,20
0xc438cda854f68cf9e04c44fd3c0bf5f65141d3c7d9a70236,5
0x8eea7775a5b93b6d150c9251300cd0a581588104d654a8c7,5
0x56351ad23969f178914bfd07d8e659320fa8be5fc87323cf,17
0x9509ac6eafb1491b51474127e472048c50fdaf692f587fd4,10
0x5c9b59553b887d43f8b232b4197d2d0b696ea7c2b772bd13,5
0x354ad437faab82f167bb3cc4916e25141bbf709a599ab184,13
0x199bcc2ebf71a851e388bd926595376a49bdaa329c6485f1,25
0xb009a21c288e6410887c692d4ed06a7a41cc75e4f223f1ad,17
0x211c229567b3f4a0ba690de8a3e660aa31e1ed0ec98fab54,8
0x108879d35f86eef0f20d55fe12bf1b47bf51e6f755657a65,12
0xae9b4243a4705211b8af762b9d1a1f14535ba0dbd059607b,5
0x7022549578e28c6e28d7d4d8f48a640c132e7a4219712a08,5
0x233751b0bc36d27253d5c54d79a858b1b486f94aa3a855e2,12
0x882e7e846161bde436b5b7c1de556d3252659b4d52383b89,25
0x83847dca0125dfe290c90fdbdaa074296099c701d269d220,5
0x953a9053eedfe1f822d878e85677a727135d1064a31e043a,5
0xb2869d028976f246db514aacb79aba3b4bcc645bc18279b2,6
0xafb50becb56a7e7dfb04399da6ceafc45bbe748cdfd04660,9
0x123bbc990ebbbeafd9b5a2348815adb12f685d3d2b8985df,5
0xadb5e32060ff2025a0cfc8e89a36c38870190622b140718c,22
0x0002fbe6c8196a89d0663e9e8786836e649c27700da195e7,11
0xdf76c16ab2223a4b8d9e0f06c75569f3efd3cf1dc8e42e0d,11
