testnet address,score,reward QKC
0x61c491dd731ee0e74ced3de7871282ee443bc6d46e257b7f,100,7000
0xce2d4315af915e7f4bb9f2bae358549b913a8fb549a5e1ae,85,3000
0xbc37dde4ffbc7d2dfe1f94caa2fdd3a37c378f3edc3e9e8a,52,3000
0x1336aa05da2bf01a1a37cdbdce0821109b95681f2ae5ff32,100,1000
0x869dd790fdcab8396c65674801a9f2382185b9f6c1f6328e,11,1000
0x64c3a1644dba31baaaabfdb9bc9a3504bdaf115c7a952053,75,1000
0xec4780b5b4d849e8aa1286eeeb43f84135b9a3bc485cff9b,100,1000
0xa5261761a52eb3769f3247491559dd6dab9ab0518f077255,85,1000
0x1268800af4a4a6ab96c0dde249687ae6f336267f042bc7f7,75,1000
0x9f7bc713e8550994e1206fe1b2b02eaf920507a3d4131a9a,78,1000
