testnet address,score,reward QKC
0x04df1fc206cf15e4af1148585bdc4581c3d010394caf0e11,12,7000
0xc3e30d4be0a7cafc5596ea44918f5fd845cd3a435a904c50,95,3000
0x7c1296762c688a994dedd43c84c103c7e847d0ab883bcb35,9,3000
0xfd15c8e945eafbe2402b394556d9d1b3e5d2a7303f1b497a,77,1000
0xcc834467b36a96557e799c9fcf277858ca1f30e673a74db4,12,1000
0xc9bdc381ebaf157be0c87d806946f8b1c40fded93525e66d,5,1000
0xe6286d239381fbe01724ceb2770357a7d6186c93389d1993,25,1000
0x1405f9cc1c5f965125255000a594ba39464af98ee9197829,62,1000
0x9f307f1c265f94baab5b4ad750ee1c9a898599594c73b404,40,1000
0xa179d3a49818438f631a02fae596c8bb0d86da65174c2e97,80,1000
